team_id,team_name,elo
ESP,Spain,2084.0
ARG,Argentina,2067.2
ENG,England,2029.8
FRA,France,2025.8
BRA,Brazil,2001.2
POR,Portugal,1968.8
GER,Germany,1965.2
NED,Netherlands,1952.3
COL,Colombia,1945.1
NOR,Norway,1932.8
URU,Uruguay,1922.2
ECU,Ecuador,1919.4
SEN,Senegal,1901.3
TUR,Turkey,1890.4
BEL,Belgium,1890.0
SUI,Switzerland,1883.3
CRO,Croatia,1876.1
JPN,Japan,1872.2
MAR,Morocco,1855.8
PAR,Paraguay,1849.6
MEX,Mexico,1844.8
AUT,Austria,1830.4
CAN,Canada,1815.2
SCO,Scotland,1805.6
USA,USA,1804.7
ALG,Algeria,1797.4
SWE,Sweden,1788.6
CIV,Ivory Coast,1778.8
AUS,Australia,1765.7
CZE,Czechia,1764.6
EGY,Egypt,1762.9
KOR,Korea Republic,1753.6
COD,Congo DR,1743.9
PAN,Panama,1739.1
IRN,Iran,1720.1
UZB,Uzbekistan,1708.9
TUN,Tunisia,1704.5
BIH,Bosnia-H.,1697.4
GHA,Ghana,1678.6
RSA,South Africa,1677.3
JOR,Jordan,1657.7
IRQ,Iraq,1646.3
HAI,Haiti,1631.4
NZL,New Zealand,1630.1
KSA,Saudi Arabia,1628.0
CPV,Cape Verde,1619.1
CUW,Curaçao,1572.5
QAT,Qatar,1541.8
